GC100m;Year;Total population in cell
3611950N4483450E;2011;5-10
3611950N4483550E;2011;5-10
3611950N4483650E;2011;1-5
3611950N4483750E;2011;1-5
3611950N4483850E;2011;1-5
3611950N4484350E;2011;1-5
3611950N4484750E;2011;5-10
3611950N4484850E;2011;5-10
3611950N4486750E;2011;1-5
3611950N4487350E;2011;41
3611950N4487450E;2011;27
3611950N4487550E;2011;32
3611950N4487650E;2011;24
3611950N4487750E;2011;28
3611950N4487850E;2011;25
3611950N4487950E;2011;42
3611950N4488050E;2011;15-20
3611950N4488150E;2011;15-20
3611950N4488250E;2011;42
3611950N4488350E;2011;40
3611950N4488450E;2011;15-20
3611950N4488550E;2011;101
3611950N4488650E;2011;54
3611950N4488750E;2011;51
3611950N4488850E;2011;15-20
3612050N4483150E;2011;25
3612050N4483250E;2011;31
3612050N4483350E;2011;37
3612050N4483450E;2011;39
3612050N4483550E;2011;38
3612050N4483750E;2011;1-5
3612050N4483850E;2011;1-5
3612050N4485250E;2011;1-5
3612050N4487250E;2011;10-15
3612050N4487350E;2011;23
3612050N4487450E;2011;35
3612050N4487550E;2011;25
3612050N4487650E;2011;20
3612050N4487750E;2011;15-20
3612050N4487850E;2011;23
3612050N4487950E;2011;41
3612050N4488050E;2011;26
3612050N4488150E;2011;15-20
3612050N4488250E;2011;22
3612050N4488350E;2011;20
3612050N4488450E;2011;29
3612050N4488550E;2011;26
3612050N4488650E;2011;73
3612050N4488750E;2011;89
3612050N4488850E;2011;55
3612050N4488950E;2011;1-5
3612150N4483150E;2011;15-20
3612150N4483250E;2011;28
3612150N4483350E;2011;33
3612150N4483450E;2011;27
3612150N4483550E;2011;38
3612150N4486750E;2011;1-5
3612150N4487250E;2011;10-15
3612150N4487350E;2011;31
3612150N4487450E;2011;23
3612150N4487550E;2011;25
3612150N4487650E;2011;31
3612150N4487750E;2011;27
3612150N4487850E;2011;23
3612150N4487950E;2011;40
3612150N4488050E;2011;28
3612150N4488150E;2011;32
3612150N4488250E;2011;26
3612150N4488350E;2011;28
3612150N4488450E;2011;24
3612150N4488550E;2011;27
3612150N4488650E;2011;39
3612150N4488750E;2011;80
3612150N4488850E;2011;70
3612150N4488950E;2011;42
3612250N4483150E;2011;5-10
3612250N4483250E;2011;40
3612250N4483350E;2011;36
3612250N4483450E;2011;38
3612250N4483550E;2011;25
3612250N4485450E;2011;1-5
3612250N4486850E;2011;1-5
3612250N4487250E;2011;20
3612250N4487350E;2011;33
3612250N4487450E;2011;20
3612250N4487550E;2011;26
3612250N4487650E;2011;25
3612250N4487750E;2011;28
3612250N4487850E;2011;38
3612250N4487950E;2011;26
3612250N4488050E;2011;26
3612250N4488150E;2011;23
3612250N4488250E;2011;15-20
3612250N4488350E;2011;22
3612250N4488450E;2011;21
3612250N4488550E;2011;29
3612250N4488650E;2011;26
3612250N4488750E;2011;28
3612250N4488850E;2011;41
3612250N4488950E;2011;10-15
3612250N4489050E;2011;23
3612350N4483150E;2011;10-15
3612350N4483250E;2011;25
3612350N4483350E;2011;35
3612350N4483450E;2011;29
3612350N4483550E;2011;10-15
3612350N4484650E;2011;1-5
3612350N4486850E;2011;1-5
3612350N4487250E;2011;15-20
3612350N4487350E;2011;21
3612350N4487450E;2011;31
3612350N4487550E;2011;34
3612350N4487650E;2011;33
3612350N4487750E;2011;34
3612350N4487850E;2011;27
3612350N4487950E;2011;33
3612350N4488050E;2011;35
3612350N4488150E;2011;32
3612350N4488250E;2011;26
3612350N4488350E;2011;15-20
3612350N4488450E;2011;35
3612350N4488550E;2011;27
3612350N4488650E;2011;22
3612350N4488750E;2011;21
3612350N4488850E;2011;10-15
3612350N4489050E;2011;21
3612350N4489150E;2011;5-10
3612450N4483150E;2011;15-20
3612450N4483250E;2011;24
3612450N4483350E;2011;15-20
3612450N4483450E;2011;31
3612450N4483550E;2011;10-15
3612450N4483650E;2011;1-5
3612450N4483950E;2011;1-5
3612450N4484750E;2011;1-5
3612450N4487250E;2011;24
3612450N4487350E;2011;1-5
3612450N4487450E;2011;27
3612450N4487550E;2011;28
3612450N4487650E;2011;30
3612450N4487750E;2011;25
3612450N4487850E;2011;37
3612450N4487950E;2011;25
3612450N4488050E;2011;32
3612450N4488150E;2011;15-20
3612450N4488250E;2011;15-20
3612450N4488350E;2011;10-15
3612450N4488450E;2011;15-20
3612450N4488550E;2011;5-10
3612450N4488650E;2011;28
3612450N4488750E;2011;26
3612450N4488850E;2011;25
3612450N4488950E;2011;1-5
3612450N4489150E;2011;28
3612450N4489250E;2011;10-15
3612450N4489850E;2011;1-5
3612550N4483250E;2011;30
3612550N4483350E;2011;23
3612550N4483450E;2011;36
3612550N4483550E;2011;39
3612550N4483650E;2011;29
3612550N4483750E;2011;31
3612550N4483850E;2011;1-5
3612550N4483950E;2011;1-5
3612550N4484750E;2011;1-5
3612550N4487250E;2011;10-15
3612550N4487350E;2011;24
3612550N4487450E;2011;15-20
3612550N4487550E;2011;5-10
3612550N4487650E;2011;1-5
