GC100m;Year;Total population in cell
3619050N4477550E;2011;22
3619050N4477650E;2011;1-5
3619050N4477750E;2011;117
3619050N4477850E;2011;92
3619050N4477950E;2011;28
3619050N4478050E;2011;40
3619050N4478150E;2011;35
3619050N4478250E;2011;125
3619050N4478350E;2011;114
3619050N4478450E;2011;50
3619050N4478550E;2011;102
3619050N4478650E;2011;75
3619050N4478750E;2011;88
3619050N4478850E;2011;109
3619050N4478950E;2011;10-15
3619050N4479250E;2011;48
3619050N4479350E;2011;28
3619050N4479450E;2011;24
3619050N4479550E;2011;5-10
3619050N4480050E;2011;118
3619050N4480150E;2011;131
3619050N4480250E;2011;149
3619050N4480350E;2011;94
3619050N4480650E;2011;175
3619050N4480750E;2011;181
3619050N4480850E;2011;225
3619050N4481350E;2011;74
3619050N4481450E;2011;77
3619050N4481550E;2011;186
3619050N4481650E;2011;141
3619050N4483950E;2011;29
3619050N4484050E;2011;22
3619050N4484150E;2011;23
3619050N4484250E;2011;38
3619050N4484350E;2011;134
3619050N4484450E;2011;93
3619050N4484550E;2011;265
3619050N4484650E;2011;130
3619050N4485050E;2011;10-15
3619050N4485250E;2011;71
3619050N4485350E;2011;135
3619050N4485450E;2011;158
3619050N4485550E;2011;170
3619050N4485650E;2011;83
3619050N4485750E;2011;86
3619050N4485850E;2011;62
3619050N4485950E;2011;38
3619050N4486050E;2011;67
3619050N4486150E;2011;48
3619050N4486250E;2011;38
3619050N4486350E;2011;52
3619050N4486450E;2011;31
3619050N4486550E;2011;52
3619050N4486650E;2011;36
3619050N4486750E;2011;28
3619050N4486850E;2011;30
3619150N4458050E;2011;26
3619150N4458150E;2011;57
3619150N4458250E;2011;34
3619150N4458350E;2011;25
3619150N4458450E;2011;22
3619150N4458550E;2011;21
3619150N4458650E;2011;10-15
3619150N4458750E;2011;27
3619150N4458850E;2011;32
3619150N4458950E;2011;25
3619150N4459050E;2011;30
3619150N4459150E;2011;35
3619150N4459250E;2011;5-10
3619150N4459350E;2011;34
3619150N4465550E;2011;1-5
3619150N4465650E;2011;5-10
3619150N4465750E;2011;42
3619150N4465850E;2011;50
3619150N4465950E;2011;49
3619150N4466050E;2011;45
3619150N4466150E;2011;68
3619150N4466250E;2011;10-15
3619150N4466350E;2011;43
3619150N4466450E;2011;33
3619150N4466550E;2011;51
3619150N4466650E;2011;30
3619150N4466750E;2011;44
3619150N4466850E;2011;33
3619150N4466950E;2011;45
3619150N4467050E;2011;15-20
3619150N4468050E;2011;50
3619150N4468150E;2011;60
3619150N4468250E;2011;89
3619150N4468350E;2011;65
3619150N4468450E;2011;84
3619150N4468550E;2011;66
3619150N4468650E;2011;52
3619150N4468750E;2011;61
3619150N4468850E;2011;97
3619150N4468950E;2011;84
3619150N4469050E;2011;87
3619150N4469150E;2011;28
3619150N4469250E;2011;92
3619150N4469650E;2011;1-5
3619150N4469750E;2011;5-10
3619150N4469950E;2011;152
3619150N4470950E;2011;1-5
3619150N4471050E;2011;15-20
3619150N4471150E;2011;5-10
3619150N4471250E;2011;15-20
3619150N4471350E;2011;21
3619150N4471450E;2011;24
3619150N4471550E;2011;31
3619150N4471650E;2011;20
3619150N4471750E;2011;23
3619150N4472150E;2011;21
3619150N4472250E;2011;58
3619150N4472350E;2011;49
3619150N4472450E;2011;10-15
3619150N4472550E;2011;69
3619150N4472750E;2011;54
3619150N4472850E;2011;66
3619150N4472950E;2011;24
3619150N4473050E;2011;25
3619150N4473850E;2011;20
3619150N4473950E;2011;27
3619150N4474050E;2011;38
3619150N4474150E;2011;40
3619150N4474250E;2011;10-15
3619150N4475750E;2011;5-10
3619150N4475850E;2011;28
3619150N4475950E;2011;33
3619150N4476050E;2011;44
3619150N4476150E;2011;39
3619150N4476250E;2011;37
3619150N4476350E;2011;30
3619150N4476450E;2011;32
3619150N4476550E;2011;37
3619150N4476650E;2011;28
3619150N4476750E;2011;29
3619150N4476850E;2011;132
3619150N4476950E;2011;134
3619150N4477050E;2011;40
3619150N4477150E;2011;48
3619150N4477250E;2011;138
3619150N4477350E;2011;15-20
3619150N4477450E;2011;22
3619150N4477550E;2011;1-5
3619150N4477750E;2011;26
3619150N4477850E;2011;89
3619150N4477950E;2011;89
3619150N4478050E;2011;54
3619150N4478150E;2011;118
3619150N4478250E;2011;100
3619150N4478350E;2011;56
3619150N4478450E;2011;44
3619150N4478550E;2011;56
3619150N4478650E;2011;37
3619150N4478750E;2011;62
3619150N4478850E;2011;27
3619150N4478950E;2011;1-5
3619150N4479150E;2011;1-5
3619150N4479250E;2011;23
3619150N4479350E;2011;5-10
3619150N4479450E;2011;15-20
3619150N4479750E;2011;15-20
3619150N4479850E;2011;54
3619150N4479950E;2011;21
3619150N4480250E;2011;32
3619150N4480350E;2011;160
3619150N4480450E;2011;160
3619150N4480650E;2011;105
3619150N4480750E;2011;160
3619150N4480850E;2011;358
3619150N4480950E;2011;86
3619150N4481150E;2011;227
3619150N4481250E;2011;42
3619150N4481450E;2011;76
3619150N4481550E;2011;185
3619150N4483950E;2011;28
3619150N4484050E;2011;55
3619150N4484150E;2011;40
3619150N4484250E;2011;72
3619150N4484350E;2011;113
3619150N4484450E;2011;29
3619150N4484550E;2011;264
3619150N4484650E;2011;131
3619150N4484950E;2011;1-5
3619150N4485050E;2011;42
3619150N4485150E;2011;15-20
3619150N4485250E;2011;24
3619150N4485350E;2011;100
3619150N4485450E;2011;155
3619150N4485550E;2011;91
3619150N4485650E;2011;76
3619150N4485750E;2011;89
3619150N4485850E;2011;88
3619150N4485950E;2011;52
3619150N4486050E;2011;94
3619150N4486150E;2011;114
3619150N4486250E;2011;55
3619150N4486350E;2011;66
3619150N4486450E;2011;28
3619150N4486550E;2011;38
3619150N4486650E;2011;35
3619150N4486750E;2011;25
3619150N4486850E;2011;15-20
3619250N4458050E;2011;40
3619250N4458150E;2011;10-15
3619250N4458250E;2011;22
3619250N4458350E;2011;30
3619250N4458450E;2011;29
3619250N4458550E;2011;22
3619250N4458650E;2011;33
3619250N4458750E;2011;20
3619250N4458850E;2011;23
3619250N4458950E;2011;15-20
3619250N4459050E;2011;41
3619250N4459150E;2011;45
3619250N4462450E;2011;1-5
3619250N4465650E;2011;1-5
3619250N4465750E;2011;23
3619250N4465850E;2011;82
3619250N4465950E;2011;61
3619250N4466050E;2011;108
3619250N4466150E;2011;22
3619250N4466250E;2011;1-5
3619250N4466350E;2011;10-15
3619250N4466450E;2011;32
3619250N4466550E;2011;21
3619250N4466650E;2011;37
3619250N4466750E;2011;55
3619250N4466850E;2011;50
3619250N4466950E;2011;10-15
3619250N4468250E;2011;15-20
3619250N4468350E;2011;26
3619250N4468450E;2011;50
3619250N4468550E;2011;48
3619250N4468650E;2011;80
3619250N4468750E;2011;84
3619250N4468850E;2011;82
3619250N4469550E;2011;1-5
3619250N4469650E;2011;31
3619250N4469850E;2011;62
3619250N4469950E;2011;73
3619250N4470850E;2011;1-5
3619250N4470950E;2011;10-15
3619250N4471050E;2011;15-20
3619250N4471150E;2011;38
3619250N4471250E;2011;22
3619250N4471350E;2011;26
3619250N4471450E;2011;30
3619250N4471550E;2011;24
3619250N4471650E;2011;23
3619250N4471750E;2011;5-10
3619250N4472150E;2011;25
3619250N4472250E;2011;28
3619250N4472350E;2011;30
3619250N4472450E;2011;21
3619250N4472550E;2011;85
3619250N4472750E;2011;94
3619250N4472850E;2011;63
3619250N4472950E;2011;10-15
3619250N4473050E;2011;5-10
3619250N4473150E;2011;1-5
3619250N4473750E;2011;15-20
3619250N4473850E;2011;26
3619250N4473950E;2011;10-15
3619250N4474050E;2011;10-15
3619250N4474150E;2011;10-15
3619250N4474250E;2011;1-5
3619250N4474350E;2011;1-5
3619250N4474450E;2011;10-15
3619250N4474850E;2011;10-15
3619250N4474950E;2011;10-15
3619250N4475750E;2011;5-10
3619250N4475850E;2011;15-20
3619250N4475950E;2011;15-20
3619250N4476050E;2011;32
3619250N4476150E;2011;26
3619250N4476250E;2011;15-20
3619250N4476350E;2011;35
3619250N4476450E;2011;34
3619250N4476550E;2011;29
3619250N4476650E;2011;35
3619250N4476750E;2011;67
3619250N4476850E;2011;28
3619250N4476950E;2011;118
3619250N4477050E;2011;49
3619250N4477150E;2011;108
3619250N4477250E;2011;121
3619250N4477350E;2011;38
3619250N4477450E;2011;1-5
3619250N4477650E;2011;43
3619250N4477750E;2011;39
3619250N4477850E;2011;63
3619250N4477950E;2011;27
3619250N4478050E;2011;31
3619250N4478150E;2011;30
3619250N4478250E;2011;33
3619250N4478350E;2011;30
3619250N4478450E;2011;30
3619250N4478550E;2011;29
3619250N4479250E;2011;5-10
3619250N4479350E;2011;1-5
3619250N4479750E;2011;33
3619250N4479850E;2011;47
3619250N4479950E;2011;10-15
3619250N4480050E;2011;91
3619250N4480150E;2011;95
3619250N4480450E;2011;10-15
3619250N4480550E;2011;113
3619250N4480650E;2011;178
3619250N4480750E;2011;137
3619250N4480850E;2011;218
3619250N4480950E;2011;10-15
3619250N4481150E;2011;42
3619250N4481250E;2011;168
3619250N4484050E;2011;52
3619250N4484150E;2011;23
3619250N4484250E;2011;33
3619250N4484350E;2011;97
3619250N4484450E;2011;51
3619250N4484550E;2011;92
3619250N4484650E;2011;203
3619250N4484750E;2011;52
3619250N4484950E;2011;21
3619250N4485050E;2011;32
3619250N4485150E;2011;49
3619250N4485250E;2011;105
3619250N4485350E;2011;32
3619250N4485450E;2011;124
3619250N4485550E;2011;203
3619250N4485650E;2011;153
3619250N4485750E;2011;74
3619250N4485850E;2011;135
3619250N4485950E;2011;85
3619250N4486050E;2011;168
3619250N4486150E;2011;68
3619250N4486250E;2011;56
3619250N4486350E;2011;106
3619250N4486450E;2011;51
3619250N4486550E;2011;32
3619250N4486650E;2011;40
3619250N4486750E;2011;41
3619250N4486850E;2011;15-20
3619250N4486950E;2011;10-15
3619250N4487050E;2011;1-5
3619350N4458050E;2011;67
3619350N4458150E;2011;5-10
3619350N4458350E;2011;21
3619350N4458450E;2011;15-20
3619350N4458550E;2011;53
3619350N4458650E;2011;15-20
3619350N4458750E;2011;48
3619350N4458850E;2011;39
3619350N4458950E;2011;38
3619350N4459050E;2011;15-20
3619350N4459150E;2011;10-15
3619350N4465550E;2011;33
3619350N4465650E;2011;5-10
3619350N4465750E;2011;30
3619350N4465850E;2011;63
3619350N4465950E;2011;55
3619350N4466050E;2011;137
3619350N4466150E;2011;60
3619350N4466250E;2011;32
3619350N4466350E;2011;59
3619350N4466450E;2011;28
3619350N4466550E;2011;30
3619350N4466650E;2011;44
3619350N4466750E;2011;48
3619350N4466850E;2011;30
3619350N4467950E;2011;5-10
3619350N4468050E;2011;153
3619350N4468150E;2011;152
3619350N4468250E;2011;137
3619350N4468350E;2011;10-15
3619350N4468450E;2011;15-20
3619350N4468650E;2011;23
3619350N4468750E;2011;23
3619350N4468850E;2011;51
3619350N4469250E;2011;15-20
3619350N4469550E;2011;46
3619350N4469650E;2011;26
3619350N4469750E;2011;25
3619350N4470850E;2011;15-20
3619350N4470950E;2011;23
3619350N4471050E;2011;32
3619350N4471150E;2011;24
3619350N4471250E;2011;15-20
3619350N4471350E;2011;35
3619350N4471450E;2011;33
3619350N4471550E;2011;28
3619350N4471650E;2011;15-20
3619350N4472150E;2011;41
3619350N4472250E;2011;34
3619350N4472350E;2011;39
3619350N4472450E;2011;45
3619350N4472550E;2011;61
3619350N4472650E;2011;10-15
3619350N4472750E;2011;32
3619350N4472850E;2011;98
3619350N4472950E;2011;15-20
3619350N4473750E;2011;15-20
3619350N4473850E;2011;31
3619350N4473950E;2011;22
3619350N4474050E;2011;23
3619350N4474150E;2011;23
3619350N4474250E;2011;5-10
3619350N4474350E;2011;1-5
3619350N4474450E;2011;56
3619350N4474650E;2011;1-5
3619350N4474850E;2011;15-20
3619350N4474950E;2011;15-20
3619350N4475750E;2011;1-5
3619350N4475850E;2011;1-5
3619350N4476050E;2011;1-5
3619350N4476450E;2011;61
3619350N4476550E;2011;83
3619350N4476650E;2011;27
3619350N4476750E;2011;103
3619350N4476850E;2011;99
3619350N4476950E;2011;22
3619350N4477050E;2011;63
3619350N4477150E;2011;172
3619350N4477250E;2011;5-10
3619350N4477450E;2011;28
3619350N4477650E;2011;21
3619350N4477750E;2011;5-10
3619350N4477850E;2011;27
3619350N4477950E;2011;34
3619350N4478050E;2011;25
3619350N4478150E;2011;39
3619350N4478250E;2011;28
3619350N4478350E;2011;27
3619350N4478450E;2011;48
3619350N4478550E;2011;15-20
3619350N4478850E;2011;1-5
3619350N4479550E;2011;1-5
3619350N4479750E;2011;59
3619350N4479850E;2011;67
3619350N4479950E;2011;75
3619350N4480050E;2011;430
3619350N4480550E;2011;1-5
3619350N4480650E;2011;53
3619350N4480750E;2011;177
3619350N4480850E;2011;130
3619350N4481250E;2011;55
3619350N4484050E;2011;33
3619350N4484150E;2011;49
3619350N4484250E;2011;44
3619350N4484350E;2011;92
3619350N4484450E;2011;119
3619350N4484650E;2011;202
3619350N4484750E;2011;172
3619350N4484950E;2011;27
3619350N4485050E;2011;41
3619350N4485150E;2011;50
3619350N4485250E;2011;89
3619350N4485350E;2011;62
3619350N4485450E;2011;177
3619350N4485550E;2011;1-5
3619350N4485650E;2011;136
3619350N4485750E;2011;287
3619350N4485850E;2011;46
3619350N4485950E;2011;136
3619350N4486050E;2011;117
3619350N4486150E;2011;40
3619350N4486250E;2011;38
3619350N4486350E;2011;48
3619350N4486450E;2011;54
3619350N4486550E;2011;45
3619350N4486650E;2011;41
3619350N4486750E;2011;34
3619350N4486850E;2011;49
3619350N4486950E;2011;39
3619350N4487050E;2011;44
3619350N4487150E;2011;44
3619350N4487250E;2011;5-10
3619450N4457950E;2011;5-10
3619450N4458050E;2011;31
3619450N4458150E;2011;5-10
3619450N4458350E;2011;35
3619450N4458450E;2011;28
3619450N4458550E;2011;26
3619450N4458650E;2011;5-10
3619450N4458850E;2011;15-20
3619450N4458950E;2011;32
3619450N4459050E;2011;32
3619450N4465650E;2011;10-15
3619450N4465750E;2011;37
3619450N4465850E;2011;38
3619450N4465950E;2011;70
3619450N4466150E;2011;10-15
3619450N4466250E;2011;10-15
3619450N4466350E;2011;59
3619450N4466450E;2011;1-5
3619450N4466550E;2011;24
3619450N4466650E;2011;24
3619450N4466850E;2011;1-5
3619450N4467850E;2011;22
3619450N4467950E;2011;39
3619450N4468050E;2011;175
3619450N4468150E;2011;170
3619450N4468250E;2011;146
3619450N4468350E;2011;27
3619450N4468450E;2011;61
3619450N4469450E;2011;515
3619450N4469750E;2011;70
3619450N4470750E;2011;10-15
3619450N4470850E;2011;21
3619450N4470950E;2011;10-15
3619450N4471050E;2011;24
3619450N4471150E;2011;15-20
3619450N4471250E;2011;23
3619450N4471350E;2011;15-20
3619450N4471450E;2011;15-20
3619450N4471550E;2011;23
3619450N4471650E;2011;1-5
3619450N4472150E;2011;15-20
3619450N4472250E;2011;37
3619450N4472350E;2011;26
3619450N4472450E;2011;76
3619450N4472550E;2011;64
3619450N4472650E;2011;23
3619450N4472850E;2011;75
3619450N4472950E;2011;49
3619450N4473750E;2011;5-10
3619450N4473850E;2011;39
3619450N4473950E;2011;39
3619450N4474050E;2011;35
3619450N4474150E;2011;26
3619450N4474250E;2011;15-20
3619450N4474450E;2011;30
3619450N4474550E;2011;33
3619450N4474650E;2011;5-10
3619450N4474750E;2011;10-15
3619450N4474850E;2011;29
3619450N4475850E;2011;1-5
3619450N4476350E;2011;47
3619450N4476450E;2011;40
3619450N4476550E;2011;35
3619450N4476650E;2011;50
3619450N4476750E;2011;99
3619450N4476850E;2011;69
3619450N4476950E;2011;57
3619450N4477050E;2011;120
3619450N4477150E;2011;34
3619450N4477350E;2011;28
3619450N4477450E;2011;139
3619450N4477550E;2011;74
3619450N4477650E;2011;21
3619450N4477750E;2011;60
3619450N4477850E;2011;116
3619450N4477950E;2011;76
3619450N4478050E;2011;39
3619450N4478150E;2011;36
3619450N4478250E;2011;34
3619450N4478350E;2011;35
3619450N4478450E;2011;53
3619450N4478950E;2011;1-5
3619450N4479550E;2011;24
3619450N4479750E;2011;89
3619450N4479850E;2011;53
3619450N4479950E;2011;89
3619450N4480050E;2011;327
3619450N4480650E;2011;53
3619450N4480750E;2011;33
3619450N4480850E;2011;5-10
3619450N4481050E;2011;1-5
3619450N4484050E;2011;5-10
3619450N4484150E;2011;24
3619450N4484250E;2011;22
3619450N4484350E;2011;56
3619450N4484450E;2011;56
3619450N4484550E;2011;5-10
3619450N4484650E;2011;79
3619450N4484750E;2011;222
3619450N4484850E;2011;182
3619450N4484950E;2011;20
3619450N4485050E;2011;43
3619450N4485150E;2011;26
3619450N4485250E;2011;43
3619450N4485350E;2011;208
3619450N4485450E;2011;205
3619450N4485550E;2011;197
3619450N4485650E;2011;174
3619450N4485750E;2011;236
3619450N4485850E;2011;244
3619450N4485950E;2011;264
3619450N4486050E;2011;87
3619450N4486150E;2011;87
3619450N4486250E;2011;109
3619450N4486450E;2011;10-15
3619450N4486550E;2011;24
3619450N4486650E;2011;45
3619450N4486750E;2011;51
3619450N4486850E;2011;21
3619450N4486950E;2011;38
3619450N4487050E;2011;56
3619450N4487150E;2011;43
3619450N4487250E;2011;5-10
3619550N4457750E;2011;1-5
3619550N4458350E;2011;5-10
3619550N4458450E;2011;36
3619550N4458550E;2011;1-5
3619550N4458850E;2011;15-20
3619550N4458950E;2011;38
3619550N4459050E;2011;22
3619550N4459150E;2011;5-10
3619550N4459450E;2011;5-10
3619550N4461650E;2011;1-5
3619550N4465650E;2011;10-15
3619550N4465750E;2011;15-20
3619550N4465850E;2011;1-5
3619550N4466250E;2011;31
3619550N4466350E;2011;15-20
3619550N4466450E;2011;10-15
3619550N4467150E;2011;10-15
3619550N4467750E;2011;15-20
3619550N4467850E;2011;23
3619550N4467950E;2011;10-15
3619550N4468050E;2011;199
3619550N4468150E;2011;224
3619550N4468250E;2011;184
3619550N4468350E;2011;5-10
3619550N4468450E;2011;44
3619550N4468650E;2011;1-5
3619550N4468950E;2011;5-10
3619550N4469150E;2011;41
3619550N4469250E;2011;60
3619550N4469350E;2011;28
3619550N4469650E;2011;10-15
3619550N4469750E;2011;43
3619550N4470750E;2011;5-10
3619550N4470850E;2011;28
3619550N4470950E;2011;26
3619550N4471050E;2011;10-15
3619550N4471150E;2011;31
3619550N4471250E;2011;28
3619550N4471350E;2011;15-20
3619550N4471450E;2011;23
3619550N4471550E;2011;15-20
3619550N4472150E;2011;10-15
3619550N4472250E;2011;27
3619550N4472350E;2011;27
3619550N4472450E;2011;124
3619550N4472550E;2011;49
3619550N4472650E;2011;89
3619550N4472750E;2011;108
3619550N4472850E;2011;61
3619550N4472950E;2011;68
3619550N4473750E;2011;5-10
3619550N4473850E;2011;41
3619550N4473950E;2011;39
3619550N4474050E;2011;26
3619550N4474150E;2011;44
3619550N4474250E;2011;5-10
3619550N4474450E;2011;15-20
3619550N4474550E;2011;10-15
3619550N4474650E;2011;10-15
3619550N4474750E;2011;10-15
3619550N4474850E;2011;10-15
3619550N4475650E;2011;22
3619550N4475750E;2011;27
3619550N4475850E;2011;32
3619550N4475950E;2011;35
3619550N4476050E;2011;41
3619550N4476150E;2011;15-20
3619550N4476250E;2011;10-15
3619550N4476350E;2011;32
3619550N4476450E;2011;45
3619550N4476550E;2011;29
3619550N4476650E;2011;15-20
3619550N4476750E;2011;120
3619550N4476850E;2011;132
3619550N4476950E;2011;117
3619550N4477050E;2011;90
3619550N4477150E;2011;10-15
3619550N4477250E;2011;73
3619550N4477350E;2011;110
3619550N4477450E;2011;123
3619550N4477550E;2011;84
3619550N4477650E;2011;85
3619550N4477850E;2011;22
3619550N4477950E;2011;203
3619550N4478050E;2011;99
3619550N4478150E;2011;5-10
3619550N4478250E;2011;15-20
3619550N4478350E;2011;39
3619550N4478450E;2011;40
3619550N4479050E;2011;57
3619550N4479150E;2011;20
3619550N4479550E;2011;38
3619550N4479650E;2011;103
3619550N4479750E;2011;62
3619550N4479850E;2011;33
3619550N4480050E;2011;185
3619550N4480650E;2011;241
3619550N4480750E;2011;199
3619550N4484150E;2011;192
3619550N4484250E;2011;200
3619550N4484350E;2011;353
3619550N4484450E;2011;197
3619550N4484550E;2011;159
3619550N4484650E;2011;404
3619550N4484750E;2011;22
3619550N4484850E;2011;249
3619550N4484950E;2011;96
3619550N4485050E;2011;50
3619550N4485150E;2011;10-15
3619550N4485250E;2011;97
3619550N4485350E;2011;314
3619550N4485450E;2011;280
3619550N4485550E;2011;304
3619550N4485650E;2011;301
3619550N4485750E;2011;325
3619550N4485850E;2011;220
3619550N4485950E;2011;314
3619550N4486050E;2011;80
3619550N4486150E;2011;89
3619550N4486250E;2011;69
3619550N4486350E;2011;32
3619550N4486450E;2011;26
3619550N4486550E;2011;5-10
3619550N4486650E;2011;21
3619550N4486750E;2011;61
3619550N4486850E;2011;57
3619550N4486950E;2011;38
3619550N4487050E;2011;1-5
3619550N4487150E;2011;5-10
3619650N4457250E;2011;20
3619650N4457350E;2011;1-5
3619650N4457450E;2011;1-5
3619650N4458350E;2011;10-15
3619650N4458450E;2011;31
3619650N4458550E;2011;28
3619650N4458650E;2011;26
3619650N4458750E;2011;28
3619650N4458850E;2011;22
3619650N4458950E;2011;21
3619650N4459050E;2011;28
3619650N4459150E;2011;20
3619650N4459650E;2011;5-10
3619650N4461450E;2011;1-5
3619650N4463450E;2011;1-5
3619650N4466150E;2011;1-5
3619650N4466250E;2011;45
3619650N4466350E;2011;45
3619650N4466450E;2011;48
3619650N4466550E;2011;1-5
3619650N4467150E;2011;1-5
3619650N4467750E;2011;32
3619650N4467850E;2011;46
3619650N4467950E;2011;37
3619650N4468050E;2011;80
3619650N4468150E;2011;60
3619650N4468250E;2011;15-20
3619650N4468350E;2011;5-10
3619650N4468550E;2011;5-10
3619650N4468750E;2011;1-5
3619650N4468950E;2011;1-5
3619650N4469050E;2011;10-15
3619650N4469150E;2011;47
3619650N4469250E;2011;58
3619650N4469350E;2011;100
3619650N4469450E;2011;121
3619650N4469550E;2011;33
3619650N4470750E;2011;15-20
3619650N4470850E;2011;10-15
3619650N4470950E;2011;25
3619650N4471050E;2011;24
3619650N4471150E;2011;24
3619650N4471250E;2011;20
3619650N4471350E;2011;28
3619650N4471450E;2011;25
3619650N4471550E;2011;5-10
3619650N4472050E;2011;1-5
3619650N4472150E;2011;1-5
3619650N4472250E;2011;40
3619650N4472350E;2011;48
3619650N4472450E;2011;85
3619650N4472550E;2011;76
3619650N4472650E;2011;47
3619650N4472750E;2011;109
3619650N4472850E;2011;33
3619650N4472950E;2011;25
3619650N4473750E;2011;1-5
3619650N4473850E;2011;42
3619650N4473950E;2011;32
3619650N4474050E;2011;5-10
3619650N4474150E;2011;28
3619650N4474450E;2011;10-15
3619650N4474550E;2011;26
3619650N4474650E;2011;15-20
3619650N4474750E;2011;15-20
3619650N4474850E;2011;10-15
3619650N4474950E;2011;5-10
3619650N4475650E;2011;15-20
3619650N4475750E;2011;23
3619650N4475850E;2011;31
3619650N4475950E;2011;30
3619650N4476050E;2011;42
3619650N4476150E;2011;36
3619650N4476250E;2011;44
3619650N4476350E;2011;33
3619650N4476450E;2011;33
3619650N4476550E;2011;5-10
3619650N4476650E;2011;5-10
3619650N4476750E;2011;33
3619650N4476850E;2011;39
3619650N4476950E;2011;63
3619650N4477150E;2011;61
3619650N4477250E;2011;90
3619650N4477350E;2011;107
3619650N4477450E;2011;79
3619650N4477550E;2011;97
3619650N4477650E;2011;43
3619650N4477750E;2011;219
3619650N4477850E;2011;84
3619650N4478050E;2011;171
3619650N4478150E;2011;15-20
3619650N4478350E;2011;10-15
3619650N4478450E;2011;5-10
3619650N4479050E;2011;247
3619650N4479150E;2011;404
3619650N4479250E;2011;52
3619650N4479550E;2011;31
3619650N4479650E;2011;182
3619650N4479750E;2011;27
3619650N4479850E;2011;34
3619650N4480550E;2011;10-15
3619650N4480650E;2011;301
3619650N4480750E;2011;288
3619650N4484150E;2011;231
3619650N4484250E;2011;212
3619650N4484350E;2011;26
3619650N4484450E;2011;103
3619650N4484550E;2011;112
3619650N4484650E;2011;10-15
3619650N4484750E;2011;149
3619650N4484850E;2011;268
3619650N4484950E;2011;195
3619650N4485050E;2011;46
3619650N4485150E;2011;34
3619650N4485350E;2011;85
3619650N4485450E;2011;370
3619650N4485550E;2011;418
3619650N4485650E;2011;339
3619650N4485750E;2011;230
3619650N4485850E;2011;78
3619650N4485950E;2011;88
3619650N4486050E;2011;88
3619650N4486150E;2011;107
3619650N4486250E;2011;80
3619650N4486350E;2011;57
3619650N4486450E;2011;48
3619650N4486550E;2011;31
3619650N4486650E;2011;45
3619650N4486750E;2011;36
3619650N4486850E;2011;15-20
3619650N4486950E;2011;22
3619650N4487050E;2011;33
3619650N4487150E;2011;25
3619750N4457050E;2011;1-5
3619750N4457150E;2011;5-10
3619750N4457250E;2011;10-15
3619750N4457350E;2011;5-10
3619750N4457450E;2011;1-5
3619750N4458250E;2011;1-5
3619750N4458350E;2011;32
3619750N4458450E;2011;22
3619750N4458550E;2011;25
3619750N4458650E;2011;25
3619750N4458750E;2011;27
3619750N4458850E;2011;36
3619750N4458950E;2011;27
3619750N4459050E;2011;39
3619750N4459150E;2011;28
3619750N4459550E;2011;1-5
3619750N4459750E;2011;1-5
3619750N4459950E;2011;1-5
3619750N4466150E;2011;10-15
3619750N4466250E;2011;38
3619750N4466350E;2011;37
3619750N4466450E;2011;10-15
3619750N4467650E;2011;1-5
3619750N4467850E;2011;59
3619750N4467950E;2011;56
3619750N4468050E;2011;15-20
3619750N4468150E;2011;50
3619750N4468250E;2011;20
3619750N4468350E;2011;10-15
3619750N4468450E;2011;10-15
3619750N4468550E;2011;49
3619750N4468750E;2011;5-10
3619750N4468950E;2011;1-5
3619750N4469050E;2011;30
3619750N4469150E;2011;104
3619750N4469250E;2011;10-15
3619750N4469350E;2011;37
3619750N4469450E;2011;164
3619750N4470750E;2011;5-10
3619750N4470850E;2011;10-15
3619750N4470950E;2011;15-20
3619750N4471050E;2011;37
3619750N4471150E;2011;43
3619750N4471250E;2011;27
3619750N4471350E;2011;33
3619750N4471450E;2011;15-20
3619750N4471550E;2011;1-5
3619750N4472050E;2011;5-10
3619750N4472150E;2011;15-20
3619750N4472250E;2011;31
3619750N4472350E;2011;43
3619750N4472450E;2011;101
3619750N4472550E;2011;94
3619750N4472650E;2011;28
3619750N4472750E;2011;43
3619750N4472850E;2011;25
3619750N4472950E;2011;15-20
3619750N4473850E;2011;49
3619750N4473950E;2011;23
3619750N4474050E;2011;21
3619750N4474150E;2011;15-20
3619750N4474450E;2011;10-15
3619750N4474550E;2011;40
3619750N4474650E;2011;10-15
3619750N4474750E;2011;10-15
3619750N4474850E;2011;10-15
3619750N4474950E;2011;20
3619750N4475050E;2011;33
3619750N4475150E;2011;28
3619750N4475250E;2011;27
3619750N4475350E;2011;42
3619750N4475450E;2011;30
3619750N4475650E;2011;5-10
3619750N4475750E;2011;23
3619750N4475850E;2011;32
3619750N4475950E;2011;35
3619750N4476050E;2011;23
3619750N4476150E;2011;24
3619750N4476250E;2011;28
3619750N4476350E;2011;24
3619750N4476450E;2011;37
3619750N4476550E;2011;56
3619750N4476650E;2011;75
3619750N4476750E;2011;63
3619750N4476850E;2011;30
3619750N4476950E;2011;45
3619750N4477050E;2011;5-10
3619750N4477150E;2011;27
3619750N4477250E;2011;40
3619750N4477350E;2011;45
3619750N4477450E;2011;24
3619750N4477550E;2011;105
3619750N4477650E;2011;61
3619750N4477750E;2011;15-20
3619750N4477850E;2011;185
3619750N4477950E;2011;95
3619750N4478950E;2011;40
3619750N4479050E;2011;188
3619750N4479150E;2011;230
3619750N4479250E;2011;20
3619750N4479550E;2011;59
3619750N4479650E;2011;77
3619750N4479750E;2011;37
